ZAKŁAD;SUPPLIER;"2.
 PART NUMBER";ID_SAP;"3.
NAME OF THE PART";KLIENT;"4.
  PART CLASIFICATION";"5.
PPM PERFORMANCE ";"6.
 CERTYFICATE";"7.
 APPROVAL";"8.
 AUDIT RESULT";"9.
 PSCR";"10.
 LOCATION";"11.
DELIVERY SCHEDULES";"12.
 NUMBER OF INTERFERENCE";"13.
 COLLABORATION";"14.
 SCORE P/N";"15.
 SUPPLIER SCORE";"16.
 SUPPLIER CLASIFICATION";ID
PSCPS;5104678    ALBIS POLSKA;NLE0060101;5104678;LUPOLEN 3010D K.NATURAL ŚR.CZY;STELLANTIS;C;100;100;100;N/A;N/A;100;100;100;100;100;;;4
PSAPT;5104678    ALBIS POLSKA;NLS0061801;5104678;#N/D;STELLANTIS;C;100;100;100;N/A;N/A;100;100;100;100;100;;;4
PSAPT;A.RAYMOND;46452829;5100575;SPINKA MOCUJĄCA 3 PRZEWODY;STELLANTIS;C;100;100;100;N/A;N/A;80;100;100;100;97,14285714;97,20238095;A;1
PSAPT;A.RAYMOND;LC392823;5100575;312 SPINKA- POSZYCIE BOKU;STELLANTIS;A;100;100;100;N/A;N/A;80;100;100;100;97,14285714;;;1
PSAPT;A.RAYMOND;885605500;5100575;4M0853582 KLAMMER 053510;VW;A;100;100;100;N/A;100;80;100;100;100;97,5;;;1
PSCPS;A.RAYMOND;881919310;5100575;36A854451 CLIP PARAURTO 242916;VW;A;100;100;100;N/A;100;80;100;100;100;97,5;;;1
PSCPS;A.RAYMOND;881909900;5100575;klips;VW;A;100;100;100;N/A;100;80;100;100;100;97,5;;;1
PSCPS;A.RAYMOND;46790807;5100575;169 SPRĘŻYNKA MOCOWANIA OSŁ. / 846 SPINK;STELLANTIS;C;100;100;100;N/A;N/A;80;100;100;100;97,14285714;;;1
PSCPS;A.RAYMOND;50530644;5100575;846MCA SPINKA MOCUJĄCA;STELLANTIS;C;100;100;100;N/A;N/A;80;100;100;100;97,14285714;;;1
PSCPS;A.RAYMOND;52048155;5100575;846MCA SPINKA MOCUJĄCA ODM-4691;STELLANTIS;A;100;100;100;N/A;N/A;80;100;100;100;97,14285714;;;1
PSCPS;A.RAYMOND;60588997;5100575;169 SPINKA POD WKRĘT 4,8 / 846 SP. P. W.;STELLANTIS;C;100;100;100;N/A;N/A;80;100;100;100;97,14285714;;;1
PSCPS;A.RAYMOND;77639240;5100575;SPRĘŻYNKA ZAŚLEPKI;STELLANTIS;C;100;100;100;N/A;N/A;80;100;100;100;97,14285714;;;1
PSCPS;A.RAYMOND;7784831;5100575;169 SPINKA POD WKRĘT 3,5;STELLANTIS;C;100;100;100;N/A;N/A;80;100;100;100;97,14285714;;;1
PSCPS;A.RAYMOND;LC373109;5100575;MOLLETTA ELASTICA;STELLANTIS;C;100;100;100;N/A;N/A;80;100;100;100;97,14285714;;;1
PSCPS;A.RAYMOND;881909900;5100575;4M8.853.909 CLIP GIALLA;VW;C;100;100;100;N/A;N/A;80;100;100;100;97,14285714;;;1
PSCPS;A.RAYMOND;881919310;5100575;36A854451 CLIP PARAURTO 242916;VW;C;100;100;100;N/A;N/A;80;100;100;100;97,14285714;;;1
PSAPT;A.RAYMOND;13051148;5100575;Sworzeń PERNO FIX 204213.0000;STELLANTIS;B;100;100;100;N/A;N/A;80;100;100;100;97,14285714;;;1
PSAPT;A.RAYMOND;13051455;5100575;BLOKADA T846 DIS 011959002;STELLANTIS;B;100;100;100;N/A;N/A;80;100;100;100;97,14285714;;;1
PSAPT;A.RAYMOND;13052146;5100575;X250 SPINKA METALOWA PN 011967007;STELLANTIS;B;100;100;100;N/A;N/A;80;100;100;100;97,14285714;;;1
PSAPT;A.RAYMOND;885403300;5100575;X250 STARLOCK PODKŁADKA ZABEZPIECZAJĄCA;STELLANTIS;B;100;100;100;N/A;N/A;80;100;100;100;97,14285714;;;1
PSAPT;ACTION COMP.;884530110;5109912;Q8 4M8.853.505.B LISTWA PRZ.SX CARBON;VW;B;100;100;100;N/A;100;50;0;100;100;81,25;81,25; B;109
PSAPT;ACTION COMP.;884530210;5109912;Q8 4M8.853.506.B LISTWA PRZ.DX CARBON;VW;B;100;100;100;N/A;100;50;0;100;100;81,25;;;109
PSAPT;ACTION COMP.;884530310;5109912;Q8 4M8.853.525.B LISTWA TYL.SX CARBON;VW;B;100;100;100;N/A;100;50;0;100;100;81,25;;;109
PSAPT;ACTION COMP.;884530410;5109912;Q8 4M8.853.526.B LISTWA TYL.DX CARBON;VW;B;100;100;100;N/A;100;50;0;100;100;81,25;;;109
PSAPT;CFITALIA;LC393958;5100584;846 GUARNIZIONE CONDOTTO ARIA LATERALE;STELLANTIS;C;100;100;100;100;N/A;80;100;0;0;72,5;75,625;C;3
PSAPT;CFITALIA;LC393959;5100584;846 GUARNIZIONE CONDOTTO ARIA CX SX;STELLANTIS;C;0;100;100;100;N/A;80;100;0;0;60;;;3
PSAPT;CFITALIA;LC393960;5100584;846 GUARNIZIONE CONDOTTO ARIA CX DX;STELLANTIS;C;100;100;100;100;N/A;80;100;0;0;72,5;;;3
PSAPT;CFITALIA;2588460076;5100584;GUARNIZIONE 846 G.SX;STELLANTIS;C;100;100;100;100;N/A;80;100;100;100;97,5;;;3
PSAPT;ADLER POLSKA;LC396020;5100584;312 PIANKA ANTYWIBRACYJNA 80x45x45;STELLANTIS;B;100;100;100;N/A;N/A;100;100;100;100;100;100;A;2
PSAPT;ADLER POLSKA;LC367910;5100584;169 FILTR GÓRNY 38.7 X 13.5;STELLANTIS;C;100;100;100;N/A;N/A;100;100;100;100;100;;;2
PSAPT;ADLER POLSKA;LC388100;5100584;169 FILTR GÓRNY 53.5 X 38.7;STELLANTIS;C;100;100;100;N/A;N/A;100;100;100;100;100;;;2
PSAPT;ADLER POLSKA;LC392709;5100584;312 USZCZELNIENIE;STELLANTIS;B;100;100;100;N/A;N/A;100;100;100;100;100;;;2
PSAPT;ADLER POLSKA;LC351706;5100584;169 USZCZELKA WLOTU POWIETRZA;STELLANTIS;B;100;100;100;N/A;N/A;100;100;100;100;100;;;2
PSCPS;AD PLASTIK;51952920;5106708;312MCA KANAŁ ROZDM. CENTR.KPL. DESKA GSX;STELLANTIS;C;100;100;100;N/A;N/A;80;100;100;100;97,14285714;97,14285714;A;122
PSCPS;AD PLASTIK;51952921;5106708;312MCA KANAŁ ROZDM. DX KPL. DESKA GSX;STELLANTIS;C;100;100;100;N/A;N/A;80;100;100;100;97,14285714;;;122
PSCPS;AD PLASTIK;51952922;5106708;312MCA KANAŁ ROZDM. SX KPL. DESKA GSX;STELLANTIS;C;100;100;100;N/A;N/A;80;100;100;100;97,14285714;;;122
PSCPS;AD PLASTIK;52010404;5106708;312MCA KANAŁ ROZDM. CENTR.KPL. DESKA GDX;STELLANTIS;C;100;100;100;N/A;N/A;80;100;100;100;97,14285714;;;122
PSCPS;AD PLASTIK;52010405;5106708;312MCA KANAŁ ROZDM. DX KPL. DESKA GDX;STELLANTIS;C;100;100;100;N/A;N/A;80;100;100;100;97,14285714;;;122
PSCPS;AD PLASTIK;52010406;5106708;312MCA KANAŁ ROZDM. SX KPL. DESKA GDX;STELLANTIS;C;100;100;100;N/A;N/A;80;100;100;100;97,14285714;;;122
PSCPS;AKZO;158012546;15000087;579658 DEEPBLACK AU C9X  22K ESB-585;VW;A;100;100;100;N/A;100;80;100;100;100;97,5;97,5;A;161
PSCPS;AKZO;158212238;15000087;579655 DAYTONAGRAU AU Z7S 22K ESB-585;VW;A;100;100;100;N/A;100;80;100;100;100;97,5;;;161
PSCPS;AKZO;158112760;15000087;538052 VERNICE NAVARRABLAU X5H;VW;A;100;100;100;N/A;100;80;100;100;100;97,5;;;161
PSCPS;AKZO;158011595;15000087;579656 TIEFSCHWARZ AU 041 22K ESB-587;VW;A;100;100;100;N/A;100;80;100;100;100;97,5;;;161
PSCPS;AKZO;158112759;15000087;553945 VERNICE GALAXISBLAU V5Z;VW;A;100;100;100;N/A;100;80;100;100;100;97,5;;;161
PSCPS;AKZO;158212237;15000087;583931 SAMURAIGRAU AU M7Q 22K ESB-585;VW;A;100;100;100;N/A;100;80;100;100;100;97,5;;;161
PSCPS;AKZO;158011114;15000087;579553 PURE WHITE AU C9A 22K ESB-587;VW;A;100;100;100;N/A;100;80;100;100;100;97,5;;;161
PSCPS;AKZO;158212222;15000087;58513310 VERNICE MET. FLORETTSILBER Z7G;VW;A;100;100;100;N/A;100;80;100;100;100;97,5;;;161
PSCPS;AKZO;158012336;15000087;554664 VERNICE DRACHENORANGE Y2Y;VW;A;100;100;100;N/A;100;80;100;100;100;97,5;;;161
PSCPS;AKZO;158212255;15000087;ESB-585 VIKUNJABEIGE AU L1X SOLESPA 22K;VW;A;100;100;100;N/A;100;80;100;100;100;97,5;;;161
PSCPS;AKZO;158012431;15000087;579696 BARRIQUEBRAUN AU M8Y 22K ESB-585;VW;A;100;100;100;N/A;100;80;100;100;100;97,5;;;161
PSCPS;AKZO;158012690;15000087;583099 MATADORROT AU Y3S 22K ESB-585;VW;A;100;100;100;N/A;100;80;100;100;100;97,5;;;161
PSCPS;AKZO;158212239;15000087;555874 VERNICE SCANDIUMGRAU 3HK;VW;A;100;100;100;N/A;100;80;100;100;100;97,5;;;161
PSCPS;AKZO;158011278;15000087;562166 VERNICE MANHATTANGRAU X7L;VW;A;100;100;100;N/A;100;80;100;100;100;97,5;;;161
PSCPS;AKZO;158212260;15000087;VERNICE NARDOGRAU Y7C;VW;A;100;100;100;N/A;100;80;100;100;100;97,5;;;161
PSCPS;AKZO;158012551;15000087;58513311 VERNICE MET. MYTHOSSCHWARZ Y9T;VW;A;100;100;100;N/A;100;80;100;100;100;97,5;;;161
PSCPS;AKZO;158011274;15000087;UNIPRIMER;VW;A;100;100;100;N/A;100;80;100;100;100;97,5;;;161
PSCPS;AKZO;158030084;15000087;UTWARDZACZ X UNIPRIMER +TRANSPARENT;VW;A;100;100;100;N/A;100;80;100;100;100;97,5;;;161
PSCPS;AKZO;158120011;15000087;ROZCIEŃCZALNIK X PODKŁAD;VW;A;100;100;100;N/A;100;80;100;100;100;97,5;;;161
PSCPS;AKZO;158020123;15000087;ROZCIEŃCZALNIK X BASE KOLORY;VW;A;100;100;100;N/A;100;80;100;100;100;97,5;;;161
PSCPS;AKZO;158020144;15000087;ROZCIEŃCZALNIK X BASE RALLENTANTE;VW;A;100;100;100;N/A;100;80;100;100;100;97,5;;;161
PSCPS;AKZO;158020089;15000087;ROZCIEŃCZALNIK X BASE 3HK;VW;A;100;100;100;N/A;100;80;100;100;100;97,5;;;161
PSAPT;ALFA ELEKTRO;LC385080;5105108;OPASKA ZACISKOWA DO MOC.PRZEW.;STELLANTIS;C;100;0;100;N/A;N/A;100;100;100;100;85,71428571;85,71428571; B;5
PSCPS;ARKEMA;LC392635;5109463;KLEJ PRODAS 1400;STELLANTIS;C;100;100;100;N/A;N/A;80;100;100;100;97,14285714;97,14285714;A;121
PSCPS;ATG;5956886;5103234;312MCA USZCZELKA PROFILOWANA L=670;STELLANTIS;A;100;100;100;N/A;N/A;80;100;100;100;97,14285714;97,14285714;A;123
PSCPS;ATG;LC393891;5103234;846 USZCZELKA PROFILOWANA L=666 DEFR.;STELLANTIS;A;100;100;100;N/A;N/A;80;100;100;100;97,14285714;;;123
PSCPS;ATG;LC393968;5103234;846 USZCZELKA PROFILOWANA L=655 RACC.;STELLANTIS;A;100;100;100;N/A;N/A;80;100;100;100;97,14285714;;;123
PSCPS;BASELL;N403205808;5104218;PP 55.100 UL NERO 808;STELLANTIS;C;100;100;100;N/A;N/A;80;100;100;100;97,14285714;97,14285714;A;126
PSCPS;BASELL;N415001000;5104218;PP 50.400 LCE SR AF NERO;STELLANTIS;C;100;100;100;N/A;N/A;80;100;100;100;97,14285714;;;126
PSCPS;BASELL;NLE0060101;5104218;LUPOLEN 3010D K.NATURAL ŚR.CZY;STELLANTIS;C;100;100;100;N/A;N/A;80;100;100;100;97,14285714;;;126
PSCPS;BASELL;40198003;5104218;PP 55.290 LCE L NERO;STELLANTIS;C;100;100;100;N/A;N/A;80;100;100;100;97,14285714;;;126
PSCPS;BASELL;167711057;5104218;Hifax TYC 258X BLACK, BG25HT;STELLANTIS;C;100;100;100;N/A;N/A;80;100;100;100;97,14285714;;;126
PSCPS;BASELL;167711061;5104218;Hifax TYC 459P G22866, OTOPHT;STELLANTIS;C;100;100;100;N/A;N/A;80;100;100;100;97,14285714;;;126
PSCPS;BASELL;NLS0061802;5104218;PP 150.80 GF30 KOL.NERO;STELLANTIS;C;100;100;100;N/A;N/A;80;100;100;100;97,14285714;;;126
PSAPT;BASF POLSKA;NLS8000300;5109930;ULTRAMID B3E2G6  (PA6 30 GF);STELLANTIS;C;100;100;100;N/A;N/A;80;100;100;100;97,14285714;97,14285714;A;7
PSAPT;BDV;LC500125;5100579;FERMAGLIO D14-11064374-T.12252;STELLANTIS;C;100;100;100;N/A;N/A;80;100;100;100;97,14285714;97,14285714;A;110
PSAPT;BILPLAST;LS385817;5108903;250 KORPUS WLOTU BOCZNEGO DX;STELLANTIS;C;100;100;100;N/A;N/A;100;100;100;100;100;100;A;72
PSAPT;BILPLAST;LS385822;5108903;250 KORPUS WLOTU BOCZNEGO SX;STELLANTIS;C;100;100;100;N/A;N/A;100;100;100;100;100;;;72
PSAPT;BMP;880922200;5108319;PROFIL 3M NADKOLE DRZWI DX RS;VW;B;100;100;100;N/A;100;80;100;100;100;97,5;97,5;A;112
PSAPT;BMP;880922300;5108319;PROFIL 3M NADKOLE DRZWI SX RS;VW;B;100;100;100;N/A;100;80;100;100;100;97,5;;;112
PSAPT;BMP;880922500;5108319;PROFIL 3M NAD.TYLNE SX GR2.4 BASIS/SLINE;VW;B;100;100;100;N/A;100;80;100;100;100;97,5;;;112
PSAPT;BMP;880923700;5108319;PROFIL 3M NADKOLE TYLNE SX GR.1.2 RS;VW;B;100;100;100;N/A;100;80;100;100;100;97,5;;;112
PSAPT;BMP;880923800;5108319;PROFIL 3M NADKOLE TYLNE DX GR.1.2 RS;VW;B;100;100;100;N/A;100;80;100;100;100;97,5;;;112
PSAPT;BMP;880922600;5108319;PROFIL 3M NAD.TYLNE DX GR2.4 BASIS/SLINE;VW;B;100;100;100;N/A;100;80;100;100;100;97,5;;;112
PSAPT;BOLLHOFF;2588460023;5105916;PERNO FILETTATO M6X32 GSX;VW;C;100;100;100;N/A;100;80;100;100;100;97,5;97,5;A;111
PSAPT;BOREALIS AG;NLS0061601;5107205;PP 140.80 KOL.808;STELLANTIS;C;100;100;100;N/A;N/A;80;100;100;100;97,14285714;97,14285714;A;9
PSCPS;BOREALIS AG;NLS0061107-S;5107205;PP 53.130SRL KOL. 808;STELLANTIS;C;100;100;100;N/A;N/A;80;100;100;100;97,14285714;;;9
PSCPS;BOREALIS AG;N415001831;5107205;PP 50.400 LCE SR AF L NERO 831 UV STAB;STELLANTIS;C;100;100;100;N/A;N/A;80;100;100;100;97,14285714;;;9
PSCPS;BOREALIS AG;NLS0060903-O;5107205;PP 48.380 KOL.808;STELLANTIS;C;100;100;100;N/A;N/A;80;100;100;100;97,14285714;;;9
PSCPS;BOREALIS AG;NLS0060901-O;5107205;PP 48.380L KOL.808;STELLANTIS;C;100;100;100;N/A;N/A;80;100;100;100;97,14285714;;;9
PSCPS;BOREALIS AG;N415001831;5107205;PP 50.400 LCE SR AF L NERO 831;STELLANTIS;C;100;100;100;N/A;N/A;80;100;100;100;97,14285714;;;9
PSCPS;BOREALIS AG;NLS0060901-O;5107205;PP 48.380L KOL.808;STELLANTIS;C;100;100;100;N/A;N/A;80;100;100;100;97,14285714;;;9
PSCPS;BOREALIS AG;NLS0060901-S;5107205;PP 48.380L KOL.808;STELLANTIS;C;100;100;100;N/A;N/A;80;100;100;100;97,14285714;;;9
PSCPS;BOREALIS AG;NLS0060903-O;5107205;PP 48.380 KOL.808;STELLANTIS;C;100;100;100;N/A;N/A;80;100;100;100;97,14285714;;;9
PSCPS;BOREALIS AG;NLS0060906-S;5107205;PP 48.450 AFU L KOLOR.831;STELLANTIS;C;100;100;100;N/A;N/A;80;100;100;100;97,14285714;;;9
PSCPS;BOREALIS AG;NLS0061107-S;5107205;PP 53.130SRL KOL. 808;STELLANTIS;C;100;100;100;N/A;N/A;80;100;100;100;97,14285714;;;9
PSCPS;BOREALIS AG;NLS0061900-S;5107205;PP 55.290 LCE KOL.808;STELLANTIS;C;100;100;100;N/A;N/A;80;100;100;100;97,14285714;;;9
PSAPT;BOSCH GMBH;51818016;5105367;312 GAC 1.4 TURBO;STELLANTIS;C;100;100;100;N/A;N/A;80;100;100;100;97,14285714;97,14285714;A;8
PSAPT;BOSCH GMBH;52041232;5105367;Gasoline pump  846;STELLANTIS;C;100;100;100;N/A;N/A;80;100;100;100;97,14285714;;;8
PSAPT;BOSCH GMBH;51836523;5105367;846 GAC BZ TURBO;STELLANTIS;C;100;100;100;N/A;N/A;80;100;100;100;97,14285714;;;8
PSAPT;BUDCHEM;LS393999/v605;5108654;637 NAKŁADKA WLOTU CENTRALN. DX kol.605;STELLANTIS;C;100;100;100;100;N/A;100;100;100;100;100;100;A;10
PSAPT;BUDCHEM;LS394000/v605;5108654;637 NAKŁADKA WLOTU CENTRALN. SX kol.605;STELLANTIS;C;100;100;100;100;N/A;100;100;100;100;100;;;10
PSAPT;BUDCHEM;LS394001/v605;5108654;637 NAKŁADKA WLOTU BOCZNEGO DX kol.605;STELLANTIS;C;100;100;100;100;N/A;100;100;100;100;100;;;10
PSAPT;BUDCHEM;LS394002/v605;5108654;637 NAKŁADKA WLOTU BOCZNEGO SX kol.605;STELLANTIS;C;100;100;100;100;N/A;100;100;100;100;100;;;10
PSCPS;BUDCHEM;735480643;5108654;312 DJ LIST BOCZ DX K656/B;STELLANTIS;B;100;100;100;100;N/A;100;100;100;100;100;;;10
PSCPS;BUDCHEM;735480644;5108654;312 DJ LIST BOCZ SX K656/B;STELLANTIS;B;100;100;100;100;N/A;100;100;100;100;100;;;10
PSCPS;BUDCHEM;735480739/L;5108654;312 DJ LISTWA TYL k656/B;STELLANTIS;B;100;100;100;100;N/A;100;100;100;100;100;;;10
PSCPS;BUDCHEM;735484029/L;5108654;312 DJ NAKLA GORN SX;STELLANTIS;B;100;100;100;100;N/A;100;100;100;100;100;;;10
PSCPS;BUDCHEM;735484030/L;5108654;312 DJ NAKLA GORN DX;STELLANTIS;B;100;100;100;100;N/A;100;100;100;100;100;;;10
PSCPS;BUDCHEM;735484131/L;5108654;312 DJ ZASL TYL k656/B;STELLANTIS;B;100;100;100;100;N/A;100;100;100;100;100;;;10
PSCPS;BUDCHEM;735490556/111;5108654;846 GN. CZ. PARK. ZEWN. DX ZD.T. K.111;STELLANTIS;B;100;100;100;100;N/A;100;100;100;100;100;;;10
PSCPS;BUDCHEM;735490556/227;5108654;846 GN. CZ. PARK. ZEWN. DX ZD.T. K.227;STELLANTIS;B;100;100;100;100;N/A;100;100;100;100;100;;;10
PSCPS;BUDCHEM;735490556/268;5108654;846 GN. CZ. PARK. ZEWN. DX ZD.T. K.268;STELLANTIS;B;100;100;100;100;N/A;100;100;100;100;100;;;10
PSCPS;BUDCHEM;735490556/323;5108654;846 GN. CZ. PARK. ZEWN. DX ZD.T. K.323;STELLANTIS;B;100;100;100;100;N/A;100;100;100;100;100;;;10
PSCPS;BUDCHEM;735490556/372;5108654;846 GN. CZ. PARK. ZEWN. DX ZD.T. K.372;STELLANTIS;B;100;100;100;100;N/A;100;100;100;100;100;;;10
PSCPS;BUDCHEM;735490556/608;5108654;846 GN. CZ. PARK. ZEWN. DX ZD.T. K.608;STELLANTIS;B;100;100;100;100;N/A;100;100;100;100;100;;;10
PSCPS;BUDCHEM;735490556/612;5108654;846 GN. CZ. PARK. ZEWN. DX ZD.T. K.612;STELLANTIS;B;100;100;100;100;N/A;100;100;100;100;100;;;10
PSCPS;BUDCHEM;735490556/676;5108654;846 GN. CZ. PARK. ZEWN. DX ZD.T. K.676;STELLANTIS;B;100;100;100;100;N/A;100;100;100;100;100;;;10
PSCPS;BUDCHEM;735490556/682;5108654;846 GN. CZ. PARK. ZEWN. DX ZD.T. K.682;STELLANTIS;B;100;100;100;100;N/A;100;100;100;100;100;;;10
PSCPS;BUDCHEM;735490556/687;5108654;846 GN. CZ. PARK. ZEWN. DX ZD.T. K.687;STELLANTIS;B;100;100;100;100;N/A;100;100;100;100;100;;;10
PSCPS;BUDCHEM;735490556/689;5108654;846 GN. CZ. PARK. ZEWN. DX ZD.T. K.689;STELLANTIS;B;100;100;100;100;N/A;100;100;100;100;100;;;10
PSCPS;BUDCHEM;735490556/695;5108654;846 GN. CZ. PARK. ZEWN. DX ZD.T. K.695;STELLANTIS;B;100;100;100;100;N/A;100;100;100;100;100;;;10
PSCPS;BUDCHEM;735490556/735;5108654;846 GN. CZ. PARK. ZEWN. DX ZD.T. K.735;STELLANTIS;B;100;100;100;100;N/A;100;100;100;100;100;;;10
PSCPS;BUDCHEM;735490556/876;5108654;846 GN. CZ. PARK. ZEWN. DX ZD.T. K.876;STELLANTIS;B;100;100;100;100;N/A;100;100;100;100;100;;;10
PSCPS;BUDCHEM;735490557/111;5108654;846 GN. CZ. PARK. ZEWN. SX ZD.T. K.111;STELLANTIS;B;100;100;100;100;N/A;100;100;100;100;100;;;10
PSCPS;BUDCHEM;735490557/227;5108654;846 GN. CZ. PARK. ZEWN. SX ZD.T. K.227;STELLANTIS;B;100;100;100;100;N/A;100;100;100;100;100;;;10
PSCPS;BUDCHEM;735490557/268;5108654;846 GN. CZ. PARK. ZEWN. SX ZD.T. K.268;STELLANTIS;B;100;100;100;100;N/A;100;100;100;100;100;;;10
PSCPS;BUDCHEM;735490557/323;5108654;846 GN. CZ. PARK. ZEWN. SX ZD.T. K.323;STELLANTIS;B;100;100;100;100;N/A;100;100;100;100;100;;;10
PSCPS;BUDCHEM;735490557/372;5108654;846 GN. CZ. PARK. ZEWN. SX ZD.T. K.372;STELLANTIS;B;100;100;100;100;N/A;100;100;100;100;100;;;10
PSCPS;BUDCHEM;735490557/608;5108654;846 GN. CZ. PARK. ZEWN. SX ZD.T. K.608;STELLANTIS;B;100;100;100;100;N/A;100;100;100;100;100;;;10
PSCPS;BUDCHEM;735490557/612;5108654;846 GN. CZ. PARK. ZEWN. SX ZD.T. K.612;STELLANTIS;B;100;100;100;100;N/A;100;100;100;100;100;;;10
PSCPS;BUDCHEM;735490557/676;5108654;846 GN. CZ. PARK. ZEWN. SX ZD.T. K.676;STELLANTIS;B;100;100;100;100;N/A;100;100;100;100;100;;;10
PSCPS;BUDCHEM;735490557/682;5108654;846 GN. CZ. PARK. ZEWN. SX ZD.T. K.682;STELLANTIS;B;100;100;100;100;N/A;100;100;100;100;100;;;10
PSCPS;BUDCHEM;735490557/687;5108654;846 GN. CZ. PARK. ZEWN. SX ZD.T. K.687;STELLANTIS;B;100;100;100;100;N/A;100;100;100;100;100;;;10
PSCPS;BUDCHEM;735490557/689;5108654;846 GN. CZ. PARK. ZEWN. SX ZD.T. K.689;STELLANTIS;B;100;100;100;100;N/A;100;100;100;100;100;;;10
PSCPS;BUDCHEM;735490557/695;5108654;846 GN. CZ. PARK. ZEWN. SX ZD.T. K.695;STELLANTIS;B;100;100;100;100;N/A;100;100;100;100;100;;;10
PSCPS;BUDCHEM;735490557/735;5108654;846 GN. CZ. PARK. ZEWN. SX ZD.T. K.735;STELLANTIS;B;100;100;100;100;N/A;100;100;100;100;100;;;10
PSCPS;BUDCHEM;735490557/876;5108654;846 GN. CZ. PARK. ZEWN. SX ZD.T. K.876;STELLANTIS;B;100;100;100;100;N/A;100;100;100;100;100;;;10
PSCPS;BUDCHEM;735501688/L;5108654;846 ZASLEPKA SPRYSK. SX KPL. CZARNY POD;STELLANTIS;B;100;100;100;100;N/A;100;100;100;100;100;;;10
PSCPS;BUDCHEM;735538645/L;5108654;846 ZAŚLEPKA ZD. PRZED. KPL. CZ.PODKL;STELLANTIS;B;100;100;100;100;N/A;100;100;100;100;100;;;10
PSCPS;BUDCHEM;735620915/111;5108654;846MCA GN.CZ.PARK.WEWN. DX ZD.T. K.111;STELLANTIS;B;100;100;100;100;N/A;100;100;100;100;100;;;10
PSCPS;BUDCHEM;735620915/227;5108654;846MCA GN.CZ.PARK.WEWN. DX ZD.T. K.227;STELLANTIS;B;100;100;100;100;N/A;100;100;100;100;100;;;10
PSCPS;BUDCHEM;735620915/268;5108654;846MCA GN.CZ.PARK.WEWN. DX ZD.T. K.268;STELLANTIS;B;100;100;100;100;N/A;100;100;100;100;100;;;10
